image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_36.jpg,1,1,1,1,751.0,946.4500122070312,479.5819091796875,609.7216796875,193.500244140625
data/images\Multimedia_36.jpg,1,1,2,2,833.25,939.75,539.7247924804688,603.3182983398438,199.90362548828125
data/images\Multimedia_36.jpg,1,1,3,3,915.5,932.9000244140625,599.8702392578125,596.8091430664062,206.41278076171875
data/images\Multimedia_36.jpg,1,1,4,4,997.75,930.0,659.9466552734375,593.0858154296875,210.1361083984375
data/images\Multimedia_36.jpg,1,1,5,5,1080.0,937.1500244140625,719.8472900390625,596.4505615234375,206.7713623046875
data/images\Multimedia_36.jpg,1,2,1,6,751.0,954.5499877929688,479.44024658203125,615.4344482421875,187.7874755859375
data/images\Multimedia_36.jpg,1,2,2,7,833.25,953.25,539.4886474609375,612.839599609375,190.38232421875
data/images\Multimedia_36.jpg,1,2,3,8,915.5,949.0999755859375,599.5869140625,608.234619140625,194.9873046875
data/images\Multimedia_36.jpg,1,2,4,9,997.75,948.0,659.6318359375,605.7808227539062,197.44110107421875
data/images\Multimedia_36.jpg,1,2,5,10,1080.0,939.8499755859375,719.800048828125,598.3547973632812,204.86712646484375
data/images\Multimedia_36.jpg,2,1,1,1,253.0,940.2000122070312,116.25306701660156,615.4735717773438,187.74835205078125
data/images\Multimedia_36.jpg,2,1,2,2,342.75,924.0499877929688,182.03466796875,602.2522583007812,200.96966552734375
data/images\Multimedia_36.jpg,2,1,3,3,432.5,924.8499755859375,247.5198211669922,600.9854736328125,202.2364501953125
data/images\Multimedia_36.jpg,2,1,4,4,522.25,922.7999877929688,313.0548095703125,597.7086181640625,205.5133056640625
data/images\Multimedia_36.jpg,2,1,5,5,612.0,926.25,378.4936218261719,598.3108520507812,204.91107177734375
data/images\Multimedia_36.jpg,2,2,1,6,253.0,943.7999877929688,116.19010925292969,618.0125732421875,185.2093505859375
data/images\Multimedia_36.jpg,2,2,2,7,342.75,942.9500122070312,181.70411682128906,615.5820922851562,187.63983154296875
data/images\Multimedia_36.jpg,2,2,3,8,432.5,940.1500244140625,247.25222778320312,611.7763061523438,191.44561767578125
data/images\Multimedia_36.jpg,2,2,4,9,522.25,937.2000122070312,312.802978515625,607.8646850585938,195.35723876953125
data/images\Multimedia_36.jpg,2,2,5,10,612.0,930.75,378.4149169921875,601.484619140625,201.7373046875
