fname,short,gt_n,pred_n,tp,fp,fn,det_precision,det_recall,det_f1,pixel_iou,pixel_precision,pixel_recall,pixel_f1,mae_mm,rmse_mm
Multimedia (31).jpg,M31,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.7462446185771363,0.8307130051027445,0.8800818205062644,0.8546850889484047,5.157652935636049,5.882176467941097
Multimedia (32).jpg,M32,5,5,4,1,1,0.8,0.8,0.8000000000000002,0.5490896830748483,0.7756715564869499,0.6527454909819639,0.7089191659774517,9.83274513354579,14.713938969562161
Multimedia (33).jpg,M33,5,5,5,0,0,1.0,1.0,1.0,0.72608161594104,0.7589807972151682,0.9436639704838938,0.841306238633668,6.175500135516722,8.294576541331088
Multimedia (34).jpg,M34,5,5,4,1,1,0.8,0.8,0.8000000000000002,0.18447382813756716,0.2280419177156038,0.491240094238595,0.3114865415433088,4.637444119121138,6.284902544988268
Multimedia (35).jpg,M35,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.4415542770913892,0.46267417729024607,0.9063068643772504,0.6126086046268188,18.89542616307669,31.04834939252005
Multimedia (36).jpg,M36,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.47318142816283726,0.48680777605586834,0.9441485314259626,0.6423939633191391,5.80770024982059,6.826419266350405
Multimedia (37).jpg,M37,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.3848289995396427,0.3937460114869177,0.9444221728197092,0.555778366379634,31.44844935708477,61.17515835696709
Multimedia (38).jpg,M38,4,5,4,1,0,0.8,1.0,0.888888888888889,0.3466295070545201,0.3537651994595748,0.9450090226992117,0.5148105031690596,21.22129465454333,31.084562084739105
Multimedia (39).jpg,M39,5,5,4,1,1,0.8,0.8,0.8000000000000002,0.35683332910975396,0.48488292011019285,0.5746877805893397,0.5259796047962347,5.269538833577394,6.041522986797286
Multimedia (40).jpg,M40,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.7832395498392283,0.8156286623137452,0.9517460317460318,0.8784456916176437,4.321402103296573,4.959838707054898
Multimedia (41).jpg,M41,5,5,1,4,4,0.2,0.2,0.20000000000000004,0.0,0.0,0.0,0.0,80.46118059371797,82.38325072488946
Multimedia (42).jpg,M42,5,5,5,0,0,1.0,1.0,1.0,0.7070008247044809,0.7670626833026793,0.900291715285881,0.8283544031993988,9.226277743647895,13.28909327230417
Multimedia (43).jpg,M43,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.5390452366062122,0.615080875356803,0.8134516169623758,0.70049303787181,26.251002719143298,32.35119781399137
Multimedia (44).jpg,M44,4,6,3,3,1,0.5,0.75,0.6,0.37268432177048366,0.3883023511885485,0.90258958145137,0.543000769892668,36.96898365754987,52.974050251042726
Multimedia (45).jpg,M45,5,5,5,0,0,1.0,1.0,1.0,0.4258073931989242,0.43637024058800905,0.9462101556708673,0.5972859942093411,7.121309698635736,9.06642156531451
Multimedia (46).jpg,M46,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.3099943061928526,0.3172027348904159,0.9316992148177975,0.47327580696708216,27.339910346409557,52.571855588327864
Multimedia (47).jpg,M47,5,6,5,1,0,0.8333333333333334,1.0,0.9090909090909091,0.34305621162021727,0.3578688019710502,0.8923360466902166,0.5108590521410359,31.44424871012028,56.515484603779164
Multimedia (48).jpg,M48,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.8029178397747633,0.9127145766656968,0.86969780981425,0.8906871095968198,2.6160639875277583,2.7688746209726918
Multimedia (49).jpg,M49,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.7682573161086211,0.8930432117683114,0.8461091753774681,0.8689428954823318,3.437918402654453,3.559026084010437
Multimedia (50).jpg,M50,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.5362743048296048,0.9595959595959596,0.5486631016042781,0.6981491562329887,5.521343970386586,6.928203230275509
Multimedia (51).jpg,M51,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.11536018295006988,1.0,0.11536018295006988,0.20685727303793142,19.36216332948626,19.739976359323904
Multimedia (52).jpg,M52,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.29476093591047814,0.8827113480578828,0.30677607199576495,0.45531329797682185,13.916931618716376,14.047538337136986
