fname,short,gt_n,pred_n,tp,fp,fn,det_precision,det_recall,det_f1,pixel_iou,pixel_precision,pixel_recall,pixel_f1,mae_mm,rmse_mm
Multimedia (31).jpg,M31,2,2,2,0,0,1.0,1.0,1.0,0.7889869531849578,0.8674795375917644,0.8971159300143985,0.8820488621007699,7.463440293689693,7.54983443527075
Multimedia (32).jpg,M32,2,1,1,0,1,1.0,0.5,0.6666666666666666,0.5005937999099063,0.7333813294936405,0.611964956195244,0.6671942799443277,28.460498941515414,28.460498941515414
Multimedia (33).jpg,M33,2,2,2,0,0,1.0,1.0,1.0,0.7169893680042403,0.7345791407123463,0.9676822083824272,0.8351704225607874,11.438750338791804,12.529964086141668
Multimedia (34).jpg,M34,2,2,1,1,1,0.5,0.5,0.5,0.12736486486486487,0.1579520697167756,0.3967585771416544,0.22595145340125866,11.313708498984761,11.313708498984761
Multimedia (35).jpg,M35,2,2,2,0,0,1.0,1.0,1.0,0.46403071814030716,0.46403071814030716,1.0,0.6339084452131505,7.6212327846342935,8.246211251235321
Multimedia (36).jpg,M36,2,2,2,0,0,1.0,1.0,1.0,0.4713989207139892,0.4713989207139892,1.0,0.6407493088077639,7.6212327846342935,8.246211251235321
Multimedia (37).jpg,M37,2,2,2,0,0,1.0,1.0,1.0,0.3740145064648376,0.3740145064648376,1.0,0.5444112921735139,71.42024626721623,96.3768644437035
Multimedia (38).jpg,M38,2,2,2,0,0,1.0,1.0,1.0,0.33540280857354027,0.33540280857354027,1.0,0.5023245516936019,35.0,43.01162633521314
Multimedia (39).jpg,M39,2,2,1,1,1,0.5,0.5,0.5,0.3322097585235122,0.4427750773309766,0.5708859557496914,0.49873491227342487,5.830951894845301,5.830951894845301
Multimedia (40).jpg,M40,2,2,2,0,0,1.0,1.0,1.0,0.7823841429369067,0.8063974678687895,0.9633342881695789,0.877907432062025,7.175588850572996,7.176350047203662
Multimedia (41).jpg,M41,2,1,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan
Multimedia (42).jpg,M42,2,2,2,0,0,1.0,1.0,1.0,0.7306049021812457,0.7450126117862875,0.9742128935532234,0.8443347193347193,16.132587464002516,19.54482028569206
Multimedia (43).jpg,M43,2,2,2,0,0,1.0,1.0,1.0,0.5736131617802152,0.5949464012251149,0.9411662917459768,0.7290396086053212,29.508618128546907,29.512709126747414
Multimedia (44).jpg,M44,2,2,2,0,0,1.0,1.0,1.0,0.3896431679721497,0.3896431679721497,1.0,0.5607816120749045,19.307886552931954,22.572106680591425
Multimedia (45).jpg,M45,2,2,2,0,0,1.0,1.0,1.0,0.41192393736017896,0.41192393736017896,1.0,0.5834930996783546,11.676970843131581,12.84523257866513
Multimedia (46).jpg,M46,2,2,2,0,0,1.0,1.0,1.0,0.294136460554371,0.294136460554371,1.0,0.4545679215750885,61.051646469911404,82.81304245105356
Multimedia (47).jpg,M47,2,2,2,0,0,1.0,1.0,1.0,0.34169040835707504,0.34169040835707504,1.0,0.5093431483578709,63.00199996800102,88.39400432156017
Multimedia (48).jpg,M48,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,nan,nan
Multimedia (49).jpg,M49,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,nan,nan
Multimedia (50).jpg,M50,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,nan,nan
Multimedia (51).jpg,M51,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,nan,nan
Multimedia (52).jpg,M52,0,0,0,0,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,nan,nan
