image,object_id,sep_type,orientation,point_id,x_px,y_px,height_px,height_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (37).jpg,1,gap,horizontal,1,692.0,1104.0,60.0,60.0,205.0,205.0
Multimedia (37).jpg,1,gap,horizontal,2,763.89,1104.0,60.0,60.0,205.0,205.0
Multimedia (37).jpg,1,gap,horizontal,3,835.78,1104.0,60.0,60.0,205.0,205.0
Multimedia (37).jpg,1,gap,horizontal,4,907.67,1104.0,60.0,60.0,205.0,205.0
Multimedia (37).jpg,1,gap,horizontal,5,979.56,1104.0,60.0,60.0,205.0,205.0
Multimedia (37).jpg,1,gap,horizontal,6,1051.44,1104.0,60.0,60.0,205.0,205.0
Multimedia (37).jpg,1,gap,horizontal,7,1123.33,1104.0,60.0,60.0,205.0,205.0
Multimedia (37).jpg,1,gap,horizontal,8,1195.22,1104.0,60.0,60.0,205.0,205.0
Multimedia (37).jpg,1,gap,horizontal,9,1267.11,1104.0,60.0,60.0,205.0,205.0
Multimedia (37).jpg,1,gap,horizontal,10,1339.0,1104.0,60.0,60.0,205.0,205.0
Multimedia (37).jpg,2,gap,horizontal,1,196.0,1060.0,60.0,60.0,249.0,249.0
Multimedia (37).jpg,2,gap,horizontal,2,241.56,1060.0,60.0,60.0,249.0,249.0
Multimedia (37).jpg,2,gap,horizontal,3,287.11,1060.0,60.0,60.0,249.0,249.0
Multimedia (37).jpg,2,gap,horizontal,4,332.67,1060.0,60.0,60.0,249.0,249.0
Multimedia (37).jpg,2,gap,horizontal,5,378.22,1060.0,60.0,60.0,249.0,249.0
Multimedia (37).jpg,2,gap,horizontal,6,423.78,1060.0,60.0,60.0,249.0,249.0
Multimedia (37).jpg,2,gap,horizontal,7,469.33,1060.0,60.0,60.0,249.0,249.0
Multimedia (37).jpg,2,gap,horizontal,8,514.89,1060.0,60.0,60.0,249.0,249.0
Multimedia (37).jpg,2,gap,horizontal,9,560.44,1060.0,60.0,60.0,249.0,249.0
Multimedia (37).jpg,2,gap,horizontal,10,606.0,1060.0,60.0,60.0,249.0,249.0
