image,object_id,sep_type,orientation,point_id,x_px,y_px,width_px,width_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (39).jpg,1,gap,vertical,1,370.0,183.0,36.0,36.0,1028.0,1028.0
Multimedia (39).jpg,1,gap,vertical,2,370.0,224.78,36.0,36.0,986.22,986.22
Multimedia (39).jpg,1,gap,vertical,3,370.0,266.56,36.0,36.0,944.44,944.44
Multimedia (39).jpg,1,gap,vertical,4,370.0,308.33,36.0,36.0,902.67,902.67
Multimedia (39).jpg,1,gap,vertical,5,370.0,350.11,36.0,36.0,860.89,860.89
Multimedia (39).jpg,1,gap,vertical,6,370.0,391.89,36.0,36.0,819.11,819.11
Multimedia (39).jpg,1,gap,vertical,7,370.0,433.67,36.0,36.0,777.33,777.33
Multimedia (39).jpg,1,gap,vertical,8,370.0,475.44,36.0,36.0,735.56,735.56
Multimedia (39).jpg,1,gap,vertical,9,370.0,517.22,36.0,36.0,693.78,693.78
Multimedia (39).jpg,1,gap,vertical,10,370.0,559.0,36.0,36.0,652.0,652.0
Multimedia (39).jpg,2,overlap,vertical,1,1138.0,660.0,20.0,20.0,551.0,551.0
Multimedia (39).jpg,2,overlap,vertical,2,1138.0,735.67,20.0,20.0,475.33,475.33
Multimedia (39).jpg,2,overlap,vertical,3,1138.0,811.33,20.0,20.0,399.67,399.67
Multimedia (39).jpg,2,overlap,vertical,4,1138.0,887.0,20.0,20.0,324.0,324.0
Multimedia (39).jpg,2,overlap,vertical,5,1138.0,962.67,20.0,20.0,248.33,248.33
Multimedia (39).jpg,2,overlap,vertical,6,1138.0,1038.33,20.0,20.0,172.67,172.67
Multimedia (39).jpg,2,overlap,vertical,7,1138.0,1114.0,20.0,20.0,97.0,97.0
Multimedia (39).jpg,2,overlap,vertical,8,1138.0,1189.67,20.0,20.0,21.33,21.33
Multimedia (39).jpg,2,overlap,vertical,9,1138.0,1265.33,20.0,20.0,54.33,54.33
Multimedia (39).jpg,2,overlap,vertical,10,1138.0,1341.0,20.0,20.0,130.0,130.0
