fname,short,gt_n,pred_n,tp,fp,fn,det_precision,det_recall,det_f1,pixel_iou,pixel_precision,pixel_recall,pixel_f1,mae_mm,rmse_mm
Multimedia (31).jpg,M31,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.5673679139232375,0.6663523198792909,0.7925078510542845,0.7239754098360656,3.620461363600288,4.43471156521669
Multimedia (32).jpg,M32,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.7750429307384087,0.9385397412199631,0.8164824120603015,0.8732666881651081,3.623493864222583,4.320493798938574
Multimedia (33).jpg,M33,3,3,3,0,0,1.0,1.0,1.0,0.7900043840420868,0.963121325494388,0.8146473779385172,0.8826843007592455,2.6666666666666665,3.1622776601683795
Multimedia (34).jpg,M34,3,3,3,0,0,1.0,1.0,1.0,0.8744939271255061,0.9737039819684448,0.8956461644782309,0.9330453563714903,2.4120226591665967,3.1622776601683795
Multimedia (35).jpg,M35,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.21758014477766288,0.43561076604554866,0.3029953917050691,0.35739765585187705,26.41155508203828,39.51371070063318
Multimedia (36).jpg,M36,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.4933177022274326,0.7522345370039328,0.5890257558790594,0.6607002669178835,4.598678559944787,5.686240703077327
Multimedia (37).jpg,M37,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.5598366930339372,0.9164578111946533,0.5899435332078515,0.7178144937019467,4.80058475033046,6.708203932499369
Multimedia (38).jpg,M38,2,3,2,1,0,0.6666666666666666,1.0,0.8,0.5313069908814589,0.8198874296435272,0.6015141087405368,0.6939261611750694,7.442589309086654,9.082951062292477
Multimedia (39).jpg,M39,3,3,3,0,0,1.0,1.0,1.0,0.5469309110927608,0.9114678899082569,0.5776162790697674,0.70711743772242,5.082401146488091,6.110100926607786
Multimedia (40).jpg,M40,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.7886658795749705,0.8789473684210526,0.8847682119205298,0.8818481848184819,2.4186109384456245,2.581988897471611
Multimedia (41).jpg,M41,3,4,1,3,2,0.25,0.3333333333333333,0.28571428571428575,0.0,0.0,0.0,0.0,62.76941930590086,62.76941930590086
Multimedia (42).jpg,M42,3,3,3,0,0,1.0,1.0,1.0,0.6030212976721149,0.910961466517022,0.6407894736842106,0.7523559400587054,4.62207126341148,6.298147875897062
Multimedia (43).jpg,M43,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.4084843656642103,0.7496345029239766,0.47301660516605165,0.5800339366515838,24.079259112874226,34.11255878216506
Multimedia (44).jpg,M44,2,4,1,3,1,0.25,0.5,0.3333333333333333,0.03350739773716275,0.21568627450980393,0.038156590683845394,0.0648421052631579,8.602325267042627,8.602325267042627
Multimedia (45).jpg,M45,3,3,3,0,0,1.0,1.0,1.0,0.6159975482684646,0.956232159847764,0.6338694418164617,0.7623743599468992,4.084202268971837,5.196152422706632
Multimedia (46).jpg,M46,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.569889341875364,0.9422243620606644,0.5905250452625226,0.7260248562418845,4.865419597408327,5.859465277082315
Multimedia (47).jpg,M47,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.3619631901840491,0.9386363636363636,0.37073608617594256,0.5315315315315314,10.405747871533118,10.692676621563626
Multimedia (48).jpg,M48,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.8029178397747633,0.9127145766656968,0.86969780981425,0.8906871095968198,2.6160639875277583,2.7688746209726918
Multimedia (49).jpg,M49,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.7682573161086211,0.8930432117683114,0.8461091753774681,0.8689428954823318,3.437918402654453,3.559026084010437
Multimedia (50).jpg,M50,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.5362743048296048,0.9595959595959596,0.5486631016042781,0.6981491562329887,5.521343970386586,6.928203230275509
Multimedia (51).jpg,M51,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.11536018295006988,1.0,0.11536018295006988,0.20685727303793142,19.36216332948626,19.739976359323904
Multimedia (52).jpg,M52,3,4,3,1,0,0.75,1.0,0.8571428571428571,0.29476093591047814,0.8827113480578828,0.30677607199576495,0.45531329797682185,13.916931618716376,14.047538337136986
