image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,1,1,1,1,872.4000244140625,801.0,525.2671508789062,506.9742126464844,330.8077697753906
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,1,1,2,2,853.4500122070312,904.5,511.1942138671875,580.4610595703125,257.3209228515625
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,1,1,3,3,834.4500122070312,1008.0,497.0878601074219,653.9493408203125,183.8326416015625
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,1,1,4,4,815.4500122070312,1111.5,482.98150634765625,727.4375610351562,110.34442138671875
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,1,1,5,5,797.4500122070312,1215.0,469.5434265136719,800.8975219726562,36.88446044921875
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,1,2,1,6,879.5999755859375,801.0,530.0786743164062,506.77032470703125,331.01165771484375
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,1,2,2,7,861.5499877929688,904.5,516.607177734375,580.231689453125,257.55029296875
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,1,2,3,8,842.5499877929688,1008.0,502.5008544921875,653.7199096679688,184.06207275390625
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,1,2,4,9,823.5499877929688,1111.5,488.3945007324219,727.2081909179688,110.57379150390625
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,1,2,5,10,805.5499877929688,1215.0,474.9563903808594,800.6681518554688,37.11383056640625
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,2,1,1,1,751.6500244140625,209.0,452.6337585449219,93.13297271728516,744.6489868164062
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,2,1,2,2,772.7000122070312,298.0,465.48907470703125,155.26693725585938,682.5150146484375
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,2,1,3,3,794.6500244140625,387.0,478.94586181640625,217.3754119873047,620.4065551757812
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,2,1,4,4,816.5999755859375,476.0,492.4026184082031,279.48388671875,558.298095703125
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,2,1,5,5,838.5499877929688,565.0,505.8594055175781,341.5923767089844,496.1896057128906
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,2,2,1,6,763.3499755859375,209.0,460.4524841308594,92.8016357421875,744.9803466796875
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,2,2,2,7,785.2999877929688,298.0,473.9092712402344,154.9101104736328,682.8718872070312
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,2,2,3,8,806.3499755859375,387.0,486.7646179199219,217.0440673828125,620.7379150390625
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,2,2,4,9,827.4000244140625,476.0,499.6199951171875,279.17803955078125,558.6039428710938
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto1.jpg,2,2,5,10,848.4500122070312,565.0,512.475341796875,341.31201171875,496.469970703125
