image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_33.jpg,1,1,1,1,314.1000061035156,878.0,-368.69512939453125,551.8065795898438,355.0694580078125
data/images\Multimedia_33.jpg,1,1,2,2,312.5,943.75,-410.1100769042969,595.6865844726562,311.189453125
data/images\Multimedia_33.jpg,1,1,3,3,308.75,1009.5,-452.9939270019531,639.6438598632812,267.232177734375
data/images\Multimedia_33.jpg,1,1,4,4,305.95001220703125,1075.25,-495.22869873046875,683.5670166015625,223.30902099609375
data/images\Multimedia_33.jpg,1,1,5,5,309.1000061035156,1141.0,-533.3983764648438,727.2763671875,179.59967041015625
data/images\Multimedia_33.jpg,1,2,1,6,315.8999938964844,878.0,-367.4653625488281,551.7418823242188,355.1341552734375
data/images\Multimedia_33.jpg,1,2,2,7,321.5,943.75,-403.96112060546875,595.3632202148438,311.5128173828125
data/images\Multimedia_33.jpg,1,2,3,8,322.25,1009.5,-443.7704772949219,639.1588134765625,267.71722412109375
data/images\Multimedia_33.jpg,1,2,4,9,323.04998779296875,1075.25,-483.5456848144531,682.9525756835938,223.9234619140625
data/images\Multimedia_33.jpg,1,2,5,10,310.8999938964844,1141.0,-532.1685791015625,727.211669921875,179.66436767578125
data/images\Multimedia_33.jpg,2,1,1,1,359.20001220703125,178.0,91.39933776855469,83.6344223022461,823.2416381835938
data/images\Multimedia_33.jpg,2,1,2,2,358.0,262.5,38.75907516479492,139.9969940185547,766.8790283203125
data/images\Multimedia_33.jpg,2,1,3,3,354.70001220703125,347.0,-15.315923690795898,196.4350128173828,710.4410400390625
data/images\Multimedia_33.jpg,2,1,4,4,351.3999938964844,431.5,-69.39094543457031,252.87303161621094,654.0029907226562
data/images\Multimedia_33.jpg,2,1,5,5,353.1000061035156,516.0,-120.04985046386719,309.13140869140625,597.74462890625
data/images\Multimedia_33.jpg,2,2,1,6,380.79998779296875,178.0,106.15682983398438,82.85831451416016,824.0177001953125
data/images\Multimedia_33.jpg,2,2,2,7,376.0,262.5,51.057003021240234,139.35023498535156,767.5258178710938
data/images\Multimedia_33.jpg,2,2,3,8,367.29998779296875,347.0,-6.707390785217285,195.98228454589844,710.8937377929688
data/images\Multimedia_33.jpg,2,2,4,9,358.6000061035156,431.5,-64.47176361083984,252.6143341064453,654.26171875
data/images\Multimedia_33.jpg,2,2,5,10,354.8999938964844,516.0,-118.820068359375,309.0667419433594,597.809326171875
